[2024-09-01T08:31:37.583+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-01T08:31:37.600+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:31:11+00:00 [queued]>
[2024-09-01T08:31:37.609+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:31:11+00:00 [queued]>
[2024-09-01T08:31:37.609+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 1
[2024-09-01T08:31:37.622+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): log_results> on 2024-09-01 08:31:11+00:00
[2024-09-01T08:31:37.632+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=105) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-01T08:31:37.921+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_range', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.922+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_transform', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.923+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_sequence', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.924+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_publication', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.925+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_publication_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.927+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_subscription_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.928+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_group', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.929+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_user', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.930+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_policies', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.931+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.932+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_views', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.933+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.935+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_matviews', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.937+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.938+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.939+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stats', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.940+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stats_ext', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.941+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_publication_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.942+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_locks', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.943+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_cursors', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.944+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_available_extensions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.945+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_available_extension_versions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.946+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_prepared_xacts', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.947+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_seclabels', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.949+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_statio_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.950+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_all_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.951+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_timezone_abbrevs', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.952+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_timezone_names', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.953+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_sys_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
